,artist,song,link,text
37556,Jason Mraz,Details In The Fabric,/j/jason+mraz/details+in+the+fabric_20737604.html,"Calm down   Deep breaths   And get yourself dressed instead   Of running around   And pulling all your threads saying   Breaking yourself up      If it's a broken part, replace it   But, if it's a broken arm then brace it   If it's a broken heart then face it      And hold your own   Know your name   And go your own way      And hold your own   Know your name   And go your own way      And everything will be fine   Everything will be fine   Hmm      Hang on   Help is on the way   Stay strong   I'm doing everything      And hold your own   Know your name   And go your own way      And hold your own   Know your name   And go your own way      And everything, everything will be fine   Everything      Are the details in the fabric   Are the things that make you panic   Are your thoughts results of static cling?      Are the things that make you blow   Hell, no reason, go on and scream   If you're shocked it's just the fault   Of faulty manufacturing.      Yeah everything will be fine   Everything in no time at all   Everything      [Chorus]      Are the details in the fabric (Hold your own, know your name)   Are the things that make you panic   Are your thoughts results of static cling? (Go your own way)      Are the details in the fabric (Hold your own, know your name)   Are the things that make you panic (Go your own way)   Is it Mother Nature's sewing machine?      Are the things that make you blow (Hold your own, know your name)   Hell no reason go on and scream   If you're shocked it's just the fault (Go your own way)   Of faulty manufacturing      Everything will be fine   Everything in no time at all   Hearts will hold  "
39170,Justin Bieber,One Dance (Remix),/j/justin+bieber/one+dance+remix_21108826.html,"[Intro: Kyla]   Baby I like your style      [Verse 1: Justin Bieber]   Lips on your neck   We're never too close now   Nothing like you and me   I don't know your name   But I'm sure that you know me   A little life with the music   The feeling is mutual   Loving the way you move on me   Skin so soft, hands on my face to be directed   And you're all that I can see   You give the baddest one in here a run for their money   And when this song comes on, you know      [Chorus: Justin Bieber]   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me      [Verse 2: Justin Bieber]   You know, I like that you're wild   So make your way over here right now   We only got a little while   Just thinkin' out loud   Celebrate life with me babe   Don't be in a rush to go now   Oh girl      [Chorus: Justin Bieber]   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me   I need a one dance   1942 in my hand   One more time 'fore I go   Body lockin', put a hold on me      [Outro: Justin Bieber]   Hold on me   Yeah, yeah, yeah   One more dance is all I need   One more dance is all I need   Oh, oh, oh  "
39177,Justin Bieber,Out Of Town Girl,/j/justin+bieber/out+of+town+girl_21019770.html,"If you were more like an out of town girl, girl, girl, yeah, yeah, yeah   Get your hands up if you out of town girl, girl, girl, yeah, yeah, yeah      Hey baby girl I love your accent-cent-cent-cent   I think I like you more because your different   Oh, I ain't gotta ask I can tell you ain't from here   Oh, what I gotta do just to show you that I want you near, near, near, near, near      All you gotta do is read the signs   The exit is to the right,   I don't know your name   But love your smile,   I love the way you put it down, down, down, down      If you were more like an out of town girl, girl, girl, yeah, yeah, yeah   Get your hands up if you out of town girl, girl, girl, yeah, yeah, yeah   You know I gotta hold it down for my out of town girl, girl, girl, yeah yeah yeah   You can tell, you can tell, she's an out of town girl, girl, girl, yeah, yeah, yeah      If you feeling me, let me know, we gon' ride the flow   I can be your passport, tell me where you wanna go   Girl don't be shy you won't know if you never try, try, try   When you walk by you're the only one that catches my eye, eye, eye      All you gotta do is read the signs   The exit is to the right,   I don't know your name   But love your smile,   I love the way you put it down, down, down      If you were more like an out of town girl, girl, girl, yeah, yeah, yeah, yeah,   Get your hands up if you out of town girl, girl, girl, yeah, yeah, yeah, yeah,   You know I gotta hold it down for my out of town girl, girl, girl, yeah yeah   You can tell, you can tell, she's an out of town girl, girl, girl, yeah, yeah      All you gotta do is swag   All you gotta do is swag   All you gotta do is swag, swag, swag, yeah   All you gotta do is swag   All you gotta do is swag   All you gotta do is swag, swag, swag      If you were more like an out of town girl, girl, girl, yeah, yeah   Get your hands up if you out of town girl, girl, girl, yeah, yeah, yeah   You know I gotta hold it down for my out of town girl, girl, girl, yeah, yeah, yeah, yeah   You can tell, you can tell, she's an out of town girl, girl, girl, yeah, yeah      Oh, no, no she's my out of town girl, girl, girl   She's my out of town girl,   She's my out of town girl  "
40224,The Killers,Somebody Told Me,/k/killers/somebody+told+me_10157543.html,"Breakin' my back just to know your name   Seventeen tracks and I've had it with this game   A breakin' my back just to know your name   But heaven ain't close in a place like this   Anything goes but don't blink, you might miss   'Cause heaven ain't close in a place like this   I said heaven ain't close in a place like this   Bring it back down, bring it back down tonight   Never thought I'd let a rumor ruin my moonlight      [Chorus]   Well somebody told me you had a boyfriend   Who looked like a girlfriend   That I had in February of last year   It's not confidential, I've got potential      Ready let's roll onto something new   Takin' it's toll then I'm leaving without you   'Cause heaven ain't close in a place like this   I said heaven ain't close in a place like this   Bring it back down, bring it back down tonight   Never thought I'd let a rumor ruin my moonlight      [Chorus]      A rushing, rushing around      Pace yourself for me   I said maybe, baby, please   But I just don't know now   When all I want to do is try      [Chorus]      A rushing, rushing around      Somebody told me you had a boyfriend   Who looked like a girlfriend   That I had in February of last year   It's not confidential, I've got potential      A rushing, rushing around      Somebody told me you had a boyfriend   Who looked like a girlfriend   That I had in February of last year   It's not confidential, I've got potential      A rushing, rushing around  "
40398,Kinks,Brother,/k/kinks/brother_20079105.html,"The world's goin' crazy and   Nobody gives a damn anymore.   And they're breakin' off relationships and   Leavin' on sailin' ships for far and distant shores.   For them it's all over,   But I'm gonna stay.   I wouldn't leave anyway.   I know that someday we'll find a way.   We'll be O.K.      'Cause I'm your brother,   Though I don't even know your name.   I've discovered that,   Deep down inside, you feel the same.   Our friends are leavin'.   Now they seem so far away.   But we shouldn't feel afraid.   There's so much that we can say.   You're my brother,   Though I didn't know you yesterday.   I'm your brother.   Together we can find a way.      The world's goin' crazy and   Nobody gives a damn anymore.   And they're breakin' off relationships and   Leavin' on sailin' ships for far and distant shores.   The old world's fadin'.   Now it seems so far away.   Well, I'm not goin' anywhere.   There's so much that we can share.   I'm your brother.      The world's goin' crazy and   Nobody gives a damn anymore.   And they're breakin' off relationships and   Leavin' on sailin' ships for far and distant shores.   You're my brother,   Though I didn't know you yesterday.   I'm your brother.   Together we can find a way  "
41512,Leo Sayer,'til You Let Your Heart Win,/l/leo+sayer/til+you+let+your+heart+win_20718544.html,"I could love you but you're hard to touch   Standing by you I have seen so much   Ain't it funny how I found the one   But you pull back to protect a heart born to run   Passion begs you to oblige them all   Love escapes you and you watch them fall   Giving nothing you are left to bleed   Will you ever recognize I know what you need      I want to hold you tight   Give you the rest of my life   You are my heaven   The river flows to the sea   Like you could reach out to me   But I can get in   Till you let your heart win      Dressed in silence   To disguise the pain   Pure emotion doesn't know your name   Love still haunts you   Please don't turn away   I'm with you if you care   Oh you know, things will change      Cause I want to hold you tight   And give you the rest of my life   You are my heaven   The river flows to the sea   Like you could reach out to me   But love can get in   Till you let your heart win   (You let your heart win)   Till let your heart win      Oh let it win   Let your heart win baby   Please give in   Let your heart win baby   Try and give in, try and give in   Let your heart   Let your heart win  "
42454,Lynyrd Skynyrd,On The Hunt,/l/lynyrd+skynyrd/on+the+hunt_20086126.html,"I said baby mama, I don't know your name   But I said baby, sugar I can play your game   Every night when we leave the hall   I see you hanging around   You want to ride in my big black car baby   Want to go uptown      [Chorus:]   I know who you are baby   I know what they call you girl   Never put you down baby   I'm just like you baby, I'm on the hunt      I know lady   People gonna talk about you and me   Let me say one thing mama, sugar I do as I please   And if you want to love me baby, I'm your man   And all those high-falutin' society people   I don't care if they don't understand      [Chorus]      My daddy told me a long time ago   Said there's two things son   Two things you should know   And in these two things you must take pride   That's a horse and woman, yeah   Well both of them you ride  "
42650,Mariah Carey,Faded,/m/mariah+carey/faded_21083595.html,"It was overcast that day   And I was feeling some kind of way   I pulled the covers up over my head   Tried reaching for you but that was then   I can't forget   My heart's hungover but ain't nothing different   I close my eyes nothing but faded pictures of you, Of you      Faded, baby, you're faded   Baby, you're faded, faded      You come and you go, you're just an echo      Whisper in my ear, but in the morning you're not here   So intangible, just like an echo   Still trying to pretend it's possible   To bring us back to life   Boy we continue to subside   Hanging over life on this rollescoaster ride   I know your name baby sub consciously   Always somewhere, but you're not there for me   Boy you, boy you, faded, baby, you're faded   Baby you're faded, faded   Boy you just come and you go   You come and you go   You're just an echo   Whisper in my ear, but in the morning you're not here   So intangible, just like an echo   Faded,   Always somewhere, but you're not there for me   Not there for me, not there for me   Always somewhere, but you're not there for me   Not there for me, not there for me  "
43377,Meat Loaf,Dead Ringer For Love,/m/meat+loaf/dead+ringer+for+love_20091287.html,"Every night I grab some money and I go down to the bar   I got my buddies and a beer, I got a dream, I need a car   You got me begging on my knees, c'mon and throw the dog a bone   A man he doesn't live by rock 'n roll and brew alone   Baby baby      [Chorus]   Rock 'n roll and brew, rock 'n roll and brew   They don't mean a thing when I compare 'em next to you   Rock 'n roll and brew, rock 'n roll and brew   I know that you and I we got better things to do   I don't know who you are or what you do, or where you go when you're not around   I don't know anything about you baby, but you're everything I'm dreaming of   I don't know who you are, but you're a real dead ringer for love   A real dead ringer for love      Ever since I can remember you been hanging 'round this joint   You been trying to look away but now you finally got the point   I don't have to know your name and I won't tell you what to do   But a girl, she doesn't live by only rock 'n roll and brew      Baby baby, baby baby      [Chorus]      You got the kind of legs that do more than walk      I don't have to listen to your whimpering talk      Listen you got the kind of eyes that do more than see      You got a lotta nerve to come on to me      You got the kind of lips that do more than drink      You got the kind of mind that does less than think      But since I'm feeling kinda lonely, my defenses are low   Why don't you give it a shot and get it ready to go   I'm looking for anonymous and fleeting satisfaction   And I want to tell my daddy I'll be missing in action      Ever since I can remember I've been hanging 'round this joint   My daddy never noticed, now he'll finally get the point      You got me beggin' on my knees, c'mon and throw the dog a bone   A man he doesn't live by rock 'n roll and brew alone      Baby baby, baby baby      [Chorus]      Dead ringer for love      [Repeat: x12]   Dead ringer for love, dead ringer  "
43843,Michael W. Smith,All In The Serve,/m/michael+w+smith/all+in+the+serve_20486300.html,"Never gave you nothin'   People couldn't explain away   Never gave you nothin'   Without something to gain   Never could slow down enough   To study a face, but now   I wanna know your name      [Chorus]   Hold my feet to the fire   'Til I'm breaking a sweat   'Til I never forget   Your calling   Keep me on the line   Give me the nerve   Here it's all in the serve      Locked in the diamond lane   I kept driving past it   Better to be safe than learn   What you're about   Give me another chance   To go where you're going now   I'm here to walk it out   I'm here to walk it out   I'm here to walk it out      [Chorus: x2]      It's all in the serve   It's all in the serve   Here it's all in the serve  "
43909,Michael W. Smith,I Know Your Name,/m/michael+w+smith/i+know+your+name_20093143.html,"Who is the you that no one else can see   In your heart, a lonely one afraid to be   Lost again, need a friend      You hide your soul to keep the hurt inside   All alone, your tears call out into the night   Is He there, does He care      [Chorus]   Yes, I know your name   Every prayer you pray   I'm the One Who brought you to this place   The Voice Who sings to you   The Hand that clings to you   Oh My child, I've always known your name, known your name      I hold you close to me, close to heart   And this kind of love will find you anywhere you are   Never fear, I am here      [Chorus]  "
43912,Michael W. Smith,I Wanna Tell The World,/m/michael+w+smith/i+wanna+tell+the+world_20093056.html,"I saw you   And you saw me   And I didn't even know your name   Just one look   That was all it took   And I knew I'd never be the same   If walkin' on air compares to what I feel   Then how can I keep it sealed when      [Chorus]   I want to tell the world   If the smile on my face   Hasn't given me away already   I want to tell the world   There ain't no way to hide it   Your love has got me flyin' high   Since the day      That you looked my way   I knew we were meant to be together   Now I thank the Lord   For a love like yours   Cause I know it's gonna last forever   It's hard to believe my dreams have all come true   And I'm so in love with you that      [Chorus]      I just want the world to know   Love has got me good to go   [I want to tell the world, I want to tell the world]   I have got to get it out   She is all I think about   [I want to tell the world, I want to tell the world]   It's something' that I need to say   Love has overtaken me      [Chorus]  "
43964,Michael W. Smith,There Is Always A Song,/m/michael+w+smith/there+is+always+a+song_20836246.html,"I don't know how to breathe   I don't know how to leave You   I don't know what to say   And who am I to say it anyway?      But there is always a song   And I'll try to sing along over You   I can hear it being sung   All of Heaven sings along over You      I hardly know Your name   I didn't come to save You   Your smile just broke my heart   Now You're in my heart   I know You'll never leave me      But there is always a song   And I'll try to sing along over You   I can hear it being sung   All of Heaven sings along over You      But there is always a song   And I'll try to sing along over You      Sing, sing like you've never sung   Sing for your joy to come   Sing, sing like you've never sung   Sing of my joy to come      There is always a song   And I'll try to sing along over You   I can hear it being sung   All of Heaven sings along over You      There is always a song   And I'll try to sing along over You   There is always a song   And I'll try to sing along over You   Always for You  "
44090,Miley Cyrus,Who Said,/m/miley+cyrus/who+said_20540371.html,"I'm more than just your average girl   I like to turn me up and show the world   Aw yeah   'Cause some can talk the talk   But this girl just wants to rock   I'm individual   I'm not like anyone      I can be glamorous   Just like you see in all the magazines   I can be cool as ice   Or anything I wanna be   Wooo      Who said, who said   I can't be Superman   I say, I say   That I know I can   Who said, who said   I won't be president   I say, I say   You ain't seen nothin' yet      Oh yeah   Yeah   Go on and make some noise   Every girl has her choice   To lead their own parade   I do it my way   Ow      I can be soft and sweet   Or louder than the radio   I can be sophisticated   Or totally go... outta control   Wooo      Who said, who said   I can't be Superman   I say, I say   That I know I can   Who said, who said   I'm not electrified   I say, I say      There's no holdin' back   Stayin' right on track   'Cause you control the game   So let 'em know your name   No limitations on imagination   Imagine that   Yeah      Who said, who said   I can't be worldwide   I say, I say   Time is on my side      Who said, who said   I can't be 10 feet tall   I say, I say   That I can have it all      Who said, who said   I can't be Superman   I say, I say   That I know I can   Who said, who said   I won't be president   I say, I say   You ain't seen nothin' yet   You ain't seen nothin' yet   Whoa   Yeah   Who said   C'mon   Yeah   That's right  "
44473,Moody Blues,On This Christmas Day,/m/moody+blues/on+this+christmas+day_20275843.html,"I saw your picture in the paper   I didn't know your name   But the pain was there for all to see   As the snow turned to rain   I saw your picture didn't know what to do   A lonely face in the crowd   In that moment when the world stood still   And tears lay on the ground   Wherever I go, I will think of you   Whatever I do, whatever I say on this Christmas Day   A silent a prayer on the street   Is it Heaven that has the final word?   With the world at your feet   Wherever I go, I will think of you   Whatever I do, whatever I say on this Christmas Day   On this Christmas day   Wherever I go, I will think of you   Whatever I do, whatever I say on this Christmas Day   Wherever I go, I will think of you, I will be with you   On this Christmas Day   On this Christmas Day    "
45146,Ne-Yo,Don't Wanna Be In Love,/n/ne+yo/dont+wanna+be+in+love_20889934.html,"Don't wanna know you   Don't wanna know your name   Said I don't wanna call you   Don't wanna talk about anything   I don't wanna like you   I don't care if you like me   Said and if you haven't caught on yet   I'm lying through my teeth      See the problem is the more I fight it   The harder it gets to deny it   And everything in me wants to be with you   But I've seen where love can leave you devastated   So everyday I look in the mirror and I say this      I tell my self I don't wanna be, I don't wanna be in love   Said I don't wanna be, I don't wanna be in love   'Cause I know what it is and I know just what it does   So I don't wanna be in love   Right now it was too much   I don't wanna be in love      Don't wanna love when you walk in the room   Don't wanna love everything to the click clack of your shoes   Don't wanna love when you put on sweats in the afternoon   And you curl up next to me as we watch cartoons      Said I don't wanna be   I tell myself I don't wanna be, I don't wanna be in love   SaiD I don't wanna be, I don't wanna be in love   'Cause I know what it is and I know what it does   So I don't wanna be in love   Right now it was too much   I don't wanna be in love      Wish I didn't love the way you smile at me   And the sun shines   Wish we could live happily ever after but girl I'm terrified   Even though it feels so right      I tell myself I don't wanna be, I don't wanna be in love   Said I don't wanna be, I don't wanna be in love   'Cause I know what it is and I know just what it does   So I don't wanna be in love   Right now it was too much   I don't wanna be in love      I don't wanna be, I don't wanna be in love   Said I don't wanna be, I don't wanna be in love   'Cause I know what it is and I know what it does   So I don't wanna be in love   Right now it was too much   So I don't wanna be in love      So now I don't wanna be in love,   Right now is just too much,   So I don't wanna be in love...  "
45167,Ne-Yo,Integrity,/n/ne+yo/integrity_21094293.html,"[Verse]   She don't really drink much so she say   But by the way she was putting in the Malibu Reds away   She was either 'bout that life   Tryna front but tryna get right   Or maybe she work hard, everyday, at her job   And she feel like she deserve to turn up tonight   Either way, miss lady bad as a Toblerone sugar rush   I drew her near, whispered in her ear   ""I think that I'm developing a little crush""   She said ""Nice try, but every short skirt that done walked by has successfully caught your eye   No thanks but I'm sure that you're a nice guy""   Damn, I had no reply, cause she was right   Newly single so I've been a little thirsty   She was more than just a booty in a skirt she   Walked a way I caught up to her in a hurry   I said ""Can I at least know your name before your dead me""   She turned around and said ""My name's integrity""   Integrity, can you answer this for me      [Hook] (x2)   Baby where do you wanna go?   I'll do what you say   She pointed to the top   She said take me all the way   Matter of fact I'll meet you there   Woah, I fell in love      [Bridge]   Oh Integrity   I think that I need you and me babe   And me babe      [Hook] (x2)   Baby where do you wanna go?   I'll do what you say   She pointed to the top   She said take me all the way   Matter of fact I'll meet you there   Woah, I fell in love      [Outro]   Integrity, damn  "
45172,Ne-Yo,Know Your Name,/n/ne+yo/know+your+name_20911918.html,"Excuse me   I couldn't help but notice   You noticing me   And I was definitely noticing you   My name is   You know my name   But listen   I have a question      No it ain't like me to drop too hard, no baby   Or go out of my way to know who you are   Say you're not one for chasing   But I'll admit   Something in you   Has got my attention girl   So if I can   Be a gentleman   Can I ask your permission girl      [Chorus]   Said if it's alright with you, baby   Can I know your name, (oh can I know your name)   And maybe call you sometime, yeah baby   Can I know your name, (wanna know your name)   Can I know your name      Looking at you girl I see so much   So much potential for something better than that   Like maybe me and you becoming us   I'm not trying to scare you   But in your eyes   I can see why   People write love songs   And if God allowed   I could see how   I could love you for so long   First things first      If it's alright with you   Can I know your name, can I know your name   And maybe call you sometime, baby, baby   Can I know your name, (I wanna know, know, know)   Can I know your name   Said if it's alright with you   Can I know your name, (can I know your name), said I wanna know your name   And maybe call you sometime, baby, baby   Can I know your name, (wanna know your name)   Can I know your name      Something about you, uh   That makes me wanna know you, mmm   Said I wanna get to know you   I just wanna show you me, whoa babe   Said I really wanna get to know you   See what this thing could be, oh      Baby if it's alright   Can I know your name, (oh can I know you're name)   And maybe call you sometime   Can I know your name, (wanna know your name)   Girl I wanna know, I really wann   Girl if it's alright with you   Can I know your name (can I know your name)   And maybe call you sometime, baby   Can I know your name, (wanna know your name)   Can I know your name, mmm  "
45192,Ne-Yo,Put That Thang On U,/n/ne+yo/put+that+thang+on+u_20677183.html,"(feat. Snoop Dogg)      [Spoken:]   Ladies side to side like this ladies   Ne-Yo's gon' sing to ya'll real quick   I'm gon' letmy nephew sing to ya'll   Real smooth   You might relate to this right here      [Verse 1: Ne-Yo]   I seen ya from across the way,   Lookin like a fantasy,   You know that I once said,   This is for the climax,   You can come and stay,   I'm just tryin to think of how to say it,   Girl if you shot me down it would be wasteless,   Know you'll get mad at me,   But I gotta tell you honestly,   I don't even wanna know you,      [Chorus: Ne-Yo]   I don't even wanna know your name,   I just wanna put this thang on you, (if you want)   We ain't gotta have a convorsation,   Or exchange information,   Cause I don't even wanna know you,   Just wanna hit it,   And quit it,   And get with it,   Can I put this thang on you,      [Verse 2: Ne-Yo]   Babe ain't no reason to get mad, (girl)   Don't look at me like that,   I don't wanna disrespect you,   I'm just tryin to let you,   (Let me hit it from the back)   I just wanna skip this,   Convorsation we want nothing like we're intrested,   Took a little pen and paper your number forget it,   Baby even where I'm going I ain't intrested,   Don't wanna know you,      [Chorus: Ne-Yo]   I don't even wanna know your name,   I just wanna put this thang on you, (if you want)   We ain't gotta have a convorsation,   Or exchange information,   Cause I don't even wanna know you,   Just wanna hit it,   And quit it,   And get with it,   Can I put this thang on you,      [Verse 3: Snoop Dogg]   I'm slick can I get it,   I'm slick and I'm smooth,   I'll break your back like that,   Yea I stick to the groove,   The mood is smooth the price is right,   I got a sweet rolled up and we can shake like dice,   Get in the car and get behind me,   And when we're finished baby please don't try to find me,   Quit playin games we can play this thang the same,   There's a couple things I wanna do to you before I become a stranger,   (Don't wanna know you)      [Chorus x2: Ne-Yo]   I don't even wanna know your name,   I just wanna put this thang on you, (if you want)   We ain't gotta have a convorsation,   Or exchange information,   Cause I don't even wanna know you,   Just wanna hit it,   And quit it,   And get with it,   Can I put this thang on you,   I don't even wanna know your name,   I just wanna put this thang on you, (if you want)   We ain't gotta have a convorsation,   Or exchange information,   Cause I don't even wanna know you,   Just wanna hit it,   And quit it,   And get with it,   Can I put this thang on you  "
45212,Ne-Yo,The Plan,/n/ne+yo/the+plan_20563469.html,"Spoken      How's everybody doin? Hope you enjoyin' The Truth, The Way, The problem thus far. This is your friendly host Ne-Yo. I like to entitle this masterpiece here The Plan. For all my folks in the club, Y'all know what it is rock wit me.      Verse 1      Well can I be honest baby (I don't know your name)   And if you never told me (Wouldn't bother me just the same)   I'm tryna get that, get that   Drop you off somewhere and then get back   To the club and do it all again   But let's not focus on the future (Did you come here with your friends, please, give one of them your keys, cause you comin' wit me)   Sorry, if I'm bossin' you around but   I like what I see and I get what I like   So that's how it's goin' down girl      Chorus      You gon' finish that drink, I'm gon' finish this drink   We gon' go and get in my ride   Ok and then   You gon' take yo clothes off, I'm gon' take my clothes off   We gon' go somewhere and get right   Alright hey   Sound like the plan to me, little mama   Sound like the plan to me yeah   Sound like the plan to me, little mama   Sound like the plan to me yeah      Verse 2      Well can you take me to the place where the grass is greener   Ladies roll wit me because my whip is cleaner   Than average come to my crib (hot sex) we havin it   Slangin' baby, frontin baby, well, that could be handled it   Can I get a witness, I like girls with thickness (head game insane)   Stay up out our business   Shawty, just shake that thang to the sound 'cause   I like what I see and I get what I like   And that's how it's goin' down girl      Chorus      You gon' finish that drink, I'm gon' finish this drink   We gon' go and get in my ride   Ok and then   You gon' take yo clothes off, I'm gon' take my clothes off   We gon' go somewhere and get right   Alright hey   Sound like the plan to me, little mama   Sound like the plan to me yeah   Sound like the plan to me, little mama   Sound like the plan to me yeah  "
45715,Nicki Minaj,Ain't Gone Do It,/n/nicki+minaj/aint+gone+do+it_21112187.html,"[Hook]   Gold in my champagne   Your shit blank, boy your shit lame   Probably just like your dick game   So I don't need to know your name   Don't you see these on my feet?   Bet you can't guess how much I paid   That's a shame   Fuck these simple hoes tryna swerve in my lane      [Verse 1]   Who the fuck told you to not have no chill?   Who the fuck told you we splittin' that bill?   Who the fuck told you that I'm in the hood?   When you know fuckin' right I'm in Beverly Hills   Why you keep starin' at me like you know me?   Spur of the moment, I ball like Ginobili   ESPN, photoshootin' with Kobe   You Photoshop bitches be needin' Adobe   Oh, oh, that's some baloney   Oh, this is Missoni   Oh, you are still lookin' for Kony   Would tell you to call me, but I am not phony   Oh, why your car got a cheap gear?   Mothafucka in his car with some cheap gear   I'm draped in McQueen, Balmain on my jean   Ask Givenchy and Marie Claire      [Hook]   Gold in my champagne   Your shit blank, boy your shit lame   Probably just like your dick game   So I don't need to know your name   Don't you see these on my feet?   Bet you can't guess how much I paid   That's a shame   Fuck these simple hoes tryna swerve in my lane      [Post-Hook]   Do it for the niggas   Girl I ain't gon' do it   Girl I ain't gon' do it   Girl I ain't gon' do it   Do it, do it, do it, do it   Girl I ain't gon' do it   Do it for the niggas   Girl I ain't gon' do it   Girl I ain't gon' do it   Girl I ain't gon' do it   Nah I ain't gon' do it      [Verse 2]   TBA      [Hook]   Gold in my champagne   Your shit blank, boy your shit lame   Probably just like your dick game   So I don't need to know your name   Don't you see these on my feet?   Bet you can't guess how much I paid   That's a shame   Fuck these simple hoes tryna swerve in my lane      [Post-Hook]   Do it for the niggas   Girl I ain't gon' do it   Girl I ain't gon' do it   Girl I ain't gon' do it   Do it, do it, do it, do it   Girl I ain't gon' do it   Do it for the niggas   Girl I ain't gon' do it   Girl I ain't gon' do it   Girl I ain't gon' do it   Nah I ain't gon' do it      [Bridge]   He said, ""Arch your back""   I ain't gon' do it   He said, ""Kiss my neck""   I ain't gon' do it   Talk dirty in my ear   I ain't gon' do it   Do it, do it, do it, do it   He said, ""Arch your back""   I ain't gon' do it   He said, ""Kiss my neck""   I ain't gon' do it   Talk dirty in my ear   I ain't gon' do it   I'ma need some fresh air, bitch      [Hook]   Gold in my champagne   Your shit blank, boy your shit lame   Probably just like your dick game   So I don't need to know your name   Don't you see these on my feet?   Bet you can't guess how much I paid   That's a shame   Fuck these simple hoes tryna swerve in my lane      [Post-Hook]   Do it for the niggas   Girl I ain't gon' do it   Girl I ain't gon' do it   Girl I ain't gon' do it   Do it, do it, do it, do it   Girl I ain't gon' do it   Do it for the niggas   Girl I ain't gon' do it   Girl I ain't gon' do it   Girl I ain't gon' do it   Nah I ain't gon' do it  "
46618,Oingo Boingo,Stay,/o/oingo+boingo/stay_20102736.html,"This is not the first time you tried to get away,   This is not a party where people know your name,   This is not a classroom with teacher at the board,   This is not a game show with prizes at the door.      Go, don't you go,   Won't you stay with me one more day?   If we get through one more night,   If we get through one more night,      This is not a horse race where winners beat the time,   This is not a funeral with mourners in a line,   This is not a sitcom where everything's alright,   This is not a prison with terror through the night.      Go... don't you go,   Won't you stay with me one more day?   If we get through one more night,   If we get through one more night,      This is not the first time you tried to get away,   This is not a party where people know your name,   This is not a classroom with teacher at the board,   This is not a game show with prizes at the door.      Go... don't you go,   Won't you stay with me one more day?   If we get through one more night,   If we get through one more night,      [repeat chorus]      This is not the first time you tried to get away,   This is not a party where people know your name,      Oh... where people know your name,  "
46916,OneRepublic,Lullaby,/o/onerepublic/lullaby_20840181.html,Days feel hard earned   Night grows longer   Summer says its goodbyes   And darkness covers   We find shelter   Our own place to hide      Oh   As the light goes out   Thoughts turn to angels   Over us   Oh   As the night comes in   Dreams start their drifting   And you hear   A lullaby      Ooooh   A lullaby   You and I      Trees touch windows   Say their hellos   We hear this house as it settles in   Worry slips away   It don't know your name   It don't know where to find us      Oh   As the light goes out   Thoughts turn to angels   All around us   Oh   As the night comes in   Dreams start their drifting   And we hear   A lullaby   A lullaby   You and I   You and I      Lullaby   Oooh  
47148,Overkill,The Cleansing,/o/overkill/the+cleansing_20169472.html,"Cool muthafucka in a deep blue sea,   I said I loose my mind.   Cool muthafucka in through what I see,   I said that I don't mind.      He said walk on through, we been waitin' for you,   There's a place set at the table   Welcome, home is where the heart is,   And since ya been gone my heart's been broke in two.      Your return among the strangest see,   Your life's gone through some changes,   Don't recognize you   Don't don't don't don't don't recognize      Down home to the cool cool water   Down home to the cleansing water      Cool muthafucka said I know your name,   But do ya know your god?   Cool muthafucka said I had your pain,   Ya, then I blew my wad.      My god made love and my god made pain,   I feel at home among the insane,   I see sunshine in the pourin' rain,   Welcome home oh yes I recognize you      See ya been rearranged to suit,   And you know we'll never change,   What they put ya through   What they put, what they put, what they put 'ya      Move it to the right now.      Jesus cleanse me, can you hear him?   Jesus cleanse me now  "
47408,Patsy Cline,Down By The Riverside,/p/patsy+cline/down+by+the+riverside_20191448.html,Well I met my little blue-eyed dog   Down by the riverside   Down by the riverside   Down by the riverside   Well I met my little blue-eyed dog   Down by the riverside   Down by the riverside   Well I asked him for a little kiss   Down by the riverside   Down by the riverside   Down by the riverside   Well I asked him for a little kiss   Down by the riverside   Down by the riverside   I said have patience little man   But I'm sure you'll understand   I hardly know your name   You said If I can have my way   But it maybe some sweet day   Your name and my will be the same   Well I wed that little blue-eyed dog   Down by the riverside   Down by the riverside   Down by the riverside   Well I wed that little blue-eyed dog   Down by the riverside   Down by the riverside  
